,t,rollMed,perc25,perc75
0,-8.5,-0.6274179944143048,-1.0286455349534505,-0.26858577329334166
1,-8.0,-0.6274179944143048,-0.9180546405785663,-0.26858577329334166
2,-7.5,-0.6274179944143048,-0.8087723360358764,-0.26858577329334166
3,-7.0,-0.6123855872655688,-0.7107552277234039,-0.26858577329334166
4,-6.5,-0.537506598213788,-0.6532491087125593,-0.2630293175845302
5,-6.0,-0.4615936521959131,-0.6187133115370118,-0.25219959200967634
6,-5.5,-0.3888823559189514,-0.542640688042344,-0.23693663896928074
7,-5.0,-0.29085043892644213,-0.4615936521959131,-0.2021620061643432
8,-4.5,-0.22145916018042788,-0.37229014520490944,-0.16137102911355183
9,-4.0,-0.17397151157480328,-0.29085043892644213,-0.11879200549926772
10,-3.5,-0.1339891698771225,-0.22469313081075198,-0.07579793469518692
11,-3.0,-0.09530080466290336,-0.16290709186591545,-0.04894299623143156
12,-2.5,-0.05883114103002007,-0.12031577482967304,-0.032836192320281815
13,-2.0,-0.03659077965895541,-0.08632990779189575,-0.01761363446729608
14,-1.5,-0.023235197934787122,-0.05608297059372175,-0.0076875369815795624
15,-1.0,-0.010672798305455089,-0.034656677258960045,-9.665932177582715e-05
16,-0.5,-0.00573220766234156,-0.013549892474053804,-0.00023450573648273187
17,0.0,-0.005514244495690379,-0.01244561506264763,-0.0003723521511896366
18,0.5,-0.005567249615235359,-0.014251258276560097,-0.0005101985658965413
19,1.0,-0.007719181633680794,-0.022793045402118572,-0.0006480449806034461
20,1.5,-0.018715484707078123,-0.043119228352426625,-0.005444828854779538
21,2.0,-0.029385313648939315,-0.06410873352236818,-0.012070047701115166
22,2.5,-0.04463114606790386,-0.086975470698239,-0.023947017518370806
23,3.0,-0.0665955232606325,-0.112318318189188,-0.040775227370541206
24,3.5,-0.09257144442122989,-0.1449625290474068,-0.06112420074584152
25,4.0,-0.11652411120495637,-0.1859474286238345,-0.07772692232196643
26,4.5,-0.1486417847251098,-0.23241401407352175,-0.09555470909393646
27,5.0,-0.1858398683260749,-0.2828601492576976,-0.1167818882519377
28,5.5,-0.22375208690198567,-0.3356644330233539,-0.13886007391712316
29,6.0,-0.2557366212375169,-0.39001556857578623,-0.16056708638114855
30,6.5,-0.2889807510387867,-0.44770656084345717,-0.18845975855859193
31,7.0,-0.3310429228335645,-0.5092286236537782,-0.21858206469977717
32,7.5,-0.3775161942628924,-0.572216781020342,-0.240591792792711
33,8.0,-0.42580272560128385,-0.6362714279051744,-0.26275912115714206
34,8.5,-0.4756441997135307,-0.7010204930799357,-0.2849622166325756
35,9.0,-0.5267871425563694,-0.7661192554642149,-0.3070861734239456
36,9.5,-0.5789848175178554,-0.8312498592461646,-0.32902347077101424
37,10.0,-0.631998823637739,-0.896120595214922,-0.35067428630517095
38,10.5,-0.6856004180195023,-0.9604650050205621,-0.3719466820895959
39,11.0,-0.7395715835788497,-1.0240408557356566,-0.39275667956795757
40,11.5,-0.7937058636149381,-1.0866290239978766,-0.4130282387034777
41,12.0,-0.8478089846278641,-1.1480323220400388,-0.4326931555335747
42,12.5,-0.9016992884169381,-1.208503964775125,-0.4516908912436758
43,13.0,-0.9552079938475908,-1.270073846561774,-0.46996834471540816
44,13.5,-1.0081793078297407,-1.3299409190150104,-0.4874795793595151
45,14.0,-1.0604704040583068,-1.3879603735715014,-0.5041855139252664
46,14.5,-1.1374737216613822,-1.4501309785336383,-0.5190720108412016
47,15.0,-1.2120250937187005,-1.509938978936113,-0.5317724429367487
48,15.5,-1.3076064911443002,-1.5612191271320937,-0.5451739591471364
49,16.0,-1.3761410389879414,-1.6111286716681419,-0.5564938783000435
50,16.5,-1.4412638253003025,-1.6569419804080736,-0.5796744902317966
51,17.0,-1.5035252560911159,-1.7037392763584935,-0.6002793882530238
52,17.5,-1.556128975246684,-1.7519792166446893,-1.080090441358195
53,18.0,-1.5970145737307886,-1.790951068941851,-1.1183661221639103
54,18.5,-1.6360760128097362,-1.8274933631712362,-1.1554924483005116
55,19.0,-1.6732949642564023,-1.8591516147019718,-1.1914221744427125
56,19.5,-1.7086601373755204,-1.8871618191460244,-1.2261163237000026
57,20.0,-1.7421666636447073,-1.912907556943353,-1.2595437025213359
58,20.5,-1.771914975555335,-1.934781203364349,-1.2620803573913462
59,21.0,-1.80521552903855,-1.9615191829805676,-1.5232989348349468
60,21.5,-1.8446170874694832,-1.9823658532839628,-1.5902570958361517
61,22.0,-1.884094717505699,-2.005994009403542,-1.6526832908608426
62,22.5,-1.9189709672512798,-2.0181020595104506,-1.7101825265934538
63,23.0,-1.9495128588829034,-2.028179025053734,-1.7631747494659968
64,23.5,-1.9747216886250794,-2.0430498328444986,-1.8117390438492393
65,24.0,-1.9957444920859202,-2.063545436022213,-1.8559856323743706
66,24.5,-2.011650471609792,-2.081445771898898,-1.8957194858260555
67,25.0,-2.023564505676093,-2.0961917314548595,-1.9314644966265693
68,25.5,-2.0283966527702124,-2.1078928530525802,-1.9633973915087346
69,26.0,-2.0283966527702124,-2.113482113814131,-1.979951357281328
70,26.5,-2.0283966527702124,-2.113482113814131,-1.9953386754440734
71,27.0,-2.0302784694274743,-2.1130336366021716,-2.006330902646079
72,27.5,-2.0318524698658553,-2.102452202176353,-2.003761718408401
73,28.0,-2.0322001716952434,-2.0937920642815158,-2.003761718408401
